,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
7037772,2011-07-01,25.197,0.281,Sioux Falls,United States,44.2,--96.1
7118635,2011-07-01,26.264,0.221,South Bend,United States,40.9,--85.2
7136946,2011-07-01,17.767,0.513,Spokane,United States,47.4,--117.2
7139091,2011-07-01,29.683000000000003,0.302,Spring Valley,United States,36.1,--115.3
7142158,2011-07-01,29.808000000000003,0.5,Springfield,United States,37.7,--93.5
7145397,2011-07-01,27.881,0.27,Springfield,United States,39.3,--89.4
7148636,2011-07-01,22.676,0.336,Springfield,United States,42.5,--72.0
7158739,2011-07-01,24.564,0.4379999999999999,Stamford,United States,40.9,--74.5
7174535,2011-07-01,25.233,0.342,Sterling Heights,United States,42.5,--82.9
7185830,2011-07-01,19.649,0.493,Stockton,United States,37.7,--122.0
7247999,2011-07-01,19.649,0.493,Sunnyvale,United States,37.7,--122.0
7250144,2011-07-01,29.683000000000003,0.302,Sunrise Manor,United States,36.1,--115.3
7305917,2011-07-01,22.967,0.236,Syracuse,United States,42.5,--76.3
7341210,2011-07-01,14.265999999999998,0.192,Tacoma,United States,47.4,--121.9
7395498,2011-07-01,28.265,0.36,Tallahassee,United States,29.7,--84.9
7418625,2011-07-01,28.304,0.289,Tampa,United States,28.1,--82.7
7534177,2011-07-01,32.96,0.161,Tempe,United States,32.9,--112.0
7594365,2011-07-01,23.688,0.154,Thornton,United States,39.3,--104.0
7596342,2011-07-01,23.987,0.23,Thousand Oaks,United States,34.5,--118.7
7666387,2011-07-01,25.892,0.415,Toledo,United States,40.9,--83.0
7679804,2011-07-01,26.197,0.32,Toms River,United States,39.3,--74.9
7701008,2011-07-01,29.449,0.581,Topeka,United States,39.3,--95.7
7706224,2011-07-01,23.987,0.23,Torrance,United States,34.5,--118.7
7782442,2011-07-01,27.749,0.319,Tucson,United States,31.3,--111.2
7794819,2011-07-01,31.885,0.351,Tulsa,United States,36.1,--95.4
7956214,2011-07-01,19.649,0.493,Vallejo,United States,37.7,--122.0
7967838,2011-07-01,15.974999999999998,0.55,Vancouver,United States,45.8,--123.4
8071904,2011-07-01,27.094,0.3329999999999999,Virginia Beach,United States,36.1,--75.5
8076494,2011-07-01,25.917,0.352,Visalia,United States,36.1,--119.3
8125234,2011-07-01,31.57,0.25,Waco,United States,31.3,--98.0
8154475,2011-07-01,25.233,0.342,Warren,United States,42.5,--82.9
8165111,2011-07-01,26.895000000000003,0.3,Washington,United States,39.3,--76.9
8168350,2011-07-01,23.621,0.352,Waterbury,United States,40.9,--72.4
8201041,2011-07-01,23.987,0.23,West Covina,United States,34.5,--118.7
8203344,2011-07-01,24.483,0.292,West Jordan,United States,40.9,--112.9
8205647,2011-07-01,24.483,0.292,West Valley City,United States,40.9,--112.9
8208509,2011-07-01,23.688,0.154,Westminster,United States,39.3,--104.0
8213331,2011-07-01,31.64,0.359,Wichita,United States,37.7,--97.6
8215656,2011-07-01,33.778,0.292,Wichita Falls,United States,34.5,--99.2
8224015,2011-07-01,25.233,0.342,Windsor,United States,42.5,--82.9
8230195,2011-07-01,27.393,0.283,Winston Salem,United States,36.1,--79.5
8255464,2011-07-01,22.676,0.336,Worcester,United States,42.5,--72.0
8439220,2011-07-01,24.564,0.4379999999999999,Yonkers,United States,40.9,--74.5
