,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1425121,2011-08-01,22.389,0.201,Cedar Rapids,United States,42.59,-91.64
1444137,2011-08-01,34.236,0.215,Chandler,United States,32.95,-112.02
1475554,2011-08-01,28.335,0.325,Charleston,United States,32.95,-79.47
1478793,2011-08-01,27.482,0.133,Charlotte,United States,34.56,-81.73
1484645,2011-08-01,26.851999999999997,0.309,Chattanooga,United States,34.56,-85.62
1530847,2011-08-01,26.57,0.228,Chesapeake,United States,36.17,-75.58
1546561,2011-08-01,23.414,0.4039999999999999,Chicago,United States,42.59,-87.27
1609770,2011-08-01,20.003,0.5760000000000001,Chula Vista,United States,32.95,-117.77
1660214,2011-08-01,23.796999999999997,0.179,Cincinnati,United States,39.38,-85.32
1686007,2011-08-01,26.454,0.253,Clarksville,United States,36.17,-87.51
1689246,2011-08-01,29.011999999999997,0.271,Clearwater,United States,28.13,-82.73
1695724,2011-08-01,22.271,0.213,Cleveland,United States,40.99,-80.95
1726937,2011-08-01,23.358,0.431,Colorado Springs,United States,39.38,-104.05
1730176,2011-08-01,27.482,0.133,Columbia,United States,34.56,-81.73
1733415,2011-08-01,28.087,0.201,Columbus,United States,32.95,-85.21
1736654,2011-08-01,23.451,0.216,Columbus,United States,39.38,-83.24
1744402,2011-08-01,19.389,0.415,Concord,United States,37.78,-122.03
1767421,2011-08-01,29.089,0.2289999999999999,Coral Springs,United States,26.52,-80.6
1776815,2011-08-01,20.003,0.5760000000000001,Corona,United States,32.95,-117.77
1781321,2011-08-01,30.918000000000003,0.38,Corpus Christi,United States,28.13,-97.27
1785479,2011-08-01,20.003,0.5760000000000001,Costa Mesa,United States,32.95,-117.77
1875512,2011-08-01,33.739999999999995,0.156,Dallas,United States,32.95,-96.7
1923397,2011-08-01,23.451,0.216,Dayton,United States,39.38,-83.24
1953558,2011-08-01,33.739999999999995,0.156,Denton,United States,32.95,-96.7
1956420,2011-08-01,23.358,0.431,Denver,United States,39.38,-104.05
1977588,2011-08-01,24.092,0.247,Des Moines,United States,40.99,-93.73
1982792,2011-08-01,22.25500000000001,0.218,Detroit,United States,42.59,-82.91
2077855,2011-08-01,24.566999999999997,0.3389999999999999,Downey,United States,34.56,-118.7
2127563,2011-08-01,26.003,0.157,Durham,United States,36.17,-79.56
2140080,2011-08-01,24.566999999999997,0.3389999999999999,East Los Angeles,United States,34.56,-118.7
2166304,2011-08-01,22.13,0.163,Edison,United States,40.99,-74.56
2188381,2011-08-01,24.566999999999997,0.3389999999999999,El Monte,United States,34.56,-118.7
2190642,2011-08-01,28.198,0.385,El Paso,United States,31.35,-105.55
2212945,2011-08-01,22.13,0.163,Elizabeth,United States,40.99,-74.56
2252368,2011-08-01,20.003,0.5760000000000001,Escondido,United States,32.95,-117.77
2281777,2011-08-01,18.275,0.285,Eugene,United States,44.2,-122.98
2285016,2011-08-01,25.94,0.203,Evansville,United States,37.78,-87.46
2295544,2011-08-01,19.389,0.415,Fairfield,United States,37.78,-122.03
2314219,2011-08-01,27.372,0.319,Fayetteville,United States,34.56,-79.78
2342360,2011-08-01,22.25500000000001,0.218,Flint,United States,42.59,-82.91
2360444,2011-08-01,28.618,0.319,Fontana,United States,34.56,-116.76
2368805,2011-08-01,23.026999999999997,0.283,Fort Collins,United States,40.99,-104.38
2371872,2011-08-01,29.089,0.2289999999999999,Fort Lauderdale,United States,26.52,-80.6
2375111,2011-08-01,22.64,0.147,Fort Wayne,United States,40.99,-85.21
2377436,2011-08-01,33.739999999999995,0.156,Fort Worth,United States,32.95,-96.7
2400702,2011-08-01,19.389,0.415,Fremont,United States,37.78,-122.03
2404824,2011-08-01,25.898000000000003,0.249,Fresno,United States,36.17,-119.34
2428373,2011-08-01,20.003,0.5760000000000001,Fullerton,United States,32.95,-117.77
2461619,2011-08-01,29.167,0.252,Gainesville,United States,29.74,-83.08
2490035,2011-08-01,20.003,0.5760000000000001,Garden Grove,United States,32.95,-117.77
2494529,2011-08-01,33.739999999999995,0.156,Garland,United States,32.95,-96.7
2569295,2011-08-01,34.236,0.215,Gilbert,United States,32.95,-112.02
2591410,2011-08-01,34.236,0.215,Glendale,United States,32.95,-112.02
2593387,2011-08-01,24.566999999999997,0.3389999999999999,Glendale,United States,34.56,-118.7
2645535,2011-08-01,33.739999999999995,0.156,Grand Prairie,United States,32.95,-96.7
2648774,2011-08-01,21.347,0.247,Grand Rapids,United States,42.59,-85.09
2657433,2011-08-01,20.866,0.501,Green Bay,United States,44.2,-87.2
2660672,2011-08-01,26.003,0.157,Greensboro,United States,36.17,-79.56
2854156,2011-08-01,26.57,0.228,Hampton,United States,36.17,-75.58
2892654,2011-08-01,22.476999999999997,0.382,Hartford,United States,40.99,-72.43
2902228,2011-08-01,19.389,0.415,Hayward,United States,37.78,-122.03
2925625,2011-08-01,30.63,0.249,Henderson,United States,36.17,-115.36
2947490,2011-08-01,29.089,0.2289999999999999,Hialeah,United States,26.52,-80.6
2952629,2011-08-01,23.358,0.431,Highlands Ranch,United States,39.38,-104.05
2991371,2011-08-01,29.089,0.2289999999999999,Hollywood,United States,26.52,-80.6
3018129,2011-08-01,31.518,0.431,Houston,United States,29.74,-96.0
3078028,2011-08-01,20.003,0.5760000000000001,Huntington Beach,United States,32.95,-117.77
3081267,2011-08-01,26.851999999999997,0.309,Huntsville,United States,34.56,-85.62
3175997,2011-08-01,25.689,0.182,Independence,United States,39.38,-93.64
3179236,2011-08-01,23.796999999999997,0.179,Indianapolis,United States,39.38,-85.32
3189330,2011-08-01,24.566999999999997,0.3389999999999999,Inglewood,United States,34.56,-118.7
3232081,2011-08-01,20.003,0.5760000000000001,Irvine,United States,32.95,-117.77
3234406,2011-08-01,33.739999999999995,0.156,Irving,United States,32.95,-96.7
3327065,2011-08-01,29.643,0.313,Jackson,United States,32.95,-90.96
3330304,2011-08-01,28.734,0.21,Jacksonville,United States,29.74,-81.23
3398773,2011-08-01,22.13,0.163,Jersey City,United States,40.99,-74.56
3511110,2011-08-01,22.906,0.357,Joliet,United States,40.99,-87.34
3633989,2011-08-01,25.689,0.182,Kansas City,United States,39.38,-93.64
3828627,2011-08-01,32.657,0.358,Killeen,United States,31.35,-98.01
3897577,2011-08-01,24.346,0.166,Knoxville,United States,36.17,-83.54
4096602,2011-08-01,30.096,0.281,Lafayette,United States,29.74,-92.31
4116202,2011-08-01,23.358,0.431,Lakewood,United States,39.38,-104.05
4133183,2011-08-01,24.566999999999997,0.3389999999999999,Lancaster,United States,34.56,-118.7
4138740,2011-08-01,21.347,0.247,Lansing,United States,42.59,-85.09
4149430,2011-08-01,32.486999999999995,0.332,Laredo,United States,28.13,-99.09
4158956,2011-08-01,30.63,0.249,Las Vegas,United States,36.17,-115.36
4236152,2011-08-01,25.066999999999997,0.295,Lexington Fayette,United States,37.78,-85.42
4273405,2011-08-01,24.173,0.347,Lincoln,United States,40.99,-95.86
4305656,2011-08-01,28.783,0.286,Little Rock,United States,34.56,-91.46
4341021,2011-08-01,20.003,0.5760000000000001,Long Beach,United States,32.95,-117.77
4358699,2011-08-01,24.566999999999997,0.3389999999999999,Los Angeles,United States,34.56,-118.7
4372552,2011-08-01,25.066999999999997,0.295,Louisville,United States,37.78,-85.42
4377684,2011-08-01,20.769,0.2339999999999999,Lowell,United States,42.59,-72.0
4392065,2011-08-01,29.759,0.2789999999999999,Lubbock,United States,32.95,-102.45
4495797,2011-08-01,22.053,0.3389999999999999,Madison,United States,42.59,-89.45
4594577,2011-08-01,20.769,0.2339999999999999,Manchester,United States,42.59,-72.0
4764056,2011-08-01,28.086,0.2239999999999999,Memphis,United States,34.56,-89.51
4777497,2011-08-01,34.236,0.215,Mesa,United States,32.95,-112.02
4779822,2011-08-01,33.739999999999995,0.156,Mesquite,United States,32.95,-96.7
4786128,2011-08-01,30.328000000000007,0.4,Metairie,United States,29.74,-90.46
4805309,2011-08-01,29.089,0.2289999999999999,Miami,United States,26.52,-80.6
4827925,2011-08-01,23.414,0.4039999999999999,Milwaukee,United States,42.59,-87.27
4839576,2011-08-01,20.531,0.273,Minneapolis,United States,45.81,-93.46
4845882,2011-08-01,29.089,0.2289999999999999,Miramar,United States,26.52,-80.6
4873209,2011-08-01,28.993,0.303,Mobile,United States,31.35,-88.59
4880318,2011-08-01,22.293000000000003,0.43,Modesto,United States,37.78,-120.0
4914603,2011-08-01,28.627,0.187,Montgomery,United States,32.95,-87.13
4940871,2011-08-01,28.618,0.319,Moreno Valley,United States,34.56,-116.76
5122357,2011-08-01,22.906,0.357,Naperville,United States,40.99,-87.34
5138111,2011-08-01,26.454,0.253,Nashville,United States,36.17,-87.51
5200880,2011-08-01,22.476999999999997,0.382,New Haven,United States,40.99,-72.43
5203947,2011-08-01,30.328000000000007,0.4,New Orleans,United States,29.74,-90.46
5207186,2011-08-01,22.13,0.163,New York,United States,40.99,-74.56
5210425,2011-08-01,22.13,0.163,Newark,United States,40.99,-74.56
5224096,2011-08-01,25.358,0.397,Newport News,United States,37.78,-77.29
5297863,2011-08-01,28.296,0.4639999999999999,Nogales,United States,31.35,-111.2
5306712,2011-08-01,26.57,0.228,Norfolk,United States,36.17,-75.58
5311892,2011-08-01,33.018,0.251,Norman,United States,34.56,-97.3
5314037,2011-08-01,30.63,0.249,North Las Vegas,United States,36.17,-115.36
5321182,2011-08-01,24.566999999999997,0.3389999999999999,Norwalk,United States,34.56,-118.7
5371535,2011-08-01,32.486999999999995,0.332,Nuevo Laredo,United States,28.13,-99.09
5386413,2011-08-01,19.389,0.415,Oakland,United States,37.78,-122.03
5405057,2011-08-01,20.003,0.5760000000000001,Oceanside,United States,32.95,-117.77
5435553,2011-08-01,31.596000000000004,0.249,Oklahoma City,United States,36.17,-97.46
5443752,2011-08-01,26.483,0.599,Olathe,United States,39.38,-95.72
5463753,2011-08-01,24.173,0.347,Omaha,United States,40.99,-95.86
5478648,2011-08-01,28.618,0.319,Ontario,United States,34.56,-116.76
5494848,2011-08-01,20.003,0.5760000000000001,Orange,United States,32.95,-117.77
5511398,2011-08-01,29.308000000000003,0.42,Orlando,United States,28.13,-80.91
5562947,2011-08-01,25.689,0.182,Overland Park,United States,39.38,-93.64
5575188,2011-08-01,24.566999999999997,0.3389999999999999,Oxnard,United States,34.56,-118.7
5648918,2011-08-01,24.566999999999997,0.3389999999999999,Palmdale,United States,34.56,-118.7
5688304,2011-08-01,30.63,0.249,Paradise,United States,36.17,-115.36
5716759,2011-08-01,31.518,0.431,Pasadena,United States,29.74,-96.0
5718736,2011-08-01,24.566999999999997,0.3389999999999999,Pasadena,United States,34.56,-118.7
5739834,2011-08-01,22.13,0.163,Paterson,United States,40.99,-74.56
5778120,2011-08-01,29.089,0.2289999999999999,Pembroke Pines,United States,26.52,-80.6
5783504,2011-08-01,34.236,0.215,Peoria,United States,32.95,-112.02
5786743,2011-08-01,23.711,0.223,Peoria,United States,40.99,-89.47
5849422,2011-08-01,23.798,0.174,Philadelphia,United States,39.38,-74.91
5856203,2011-08-01,34.236,0.215,Phoenix,United States,32.95,-112.02
5904050,2011-08-01,22.271,0.213,Pittsburgh,United States,40.99,-80.95
5910231,2011-08-01,33.739999999999995,0.156,Plano,United States,32.95,-96.7
5950599,2011-08-01,24.566999999999997,0.3389999999999999,Pomona,United States,34.56,-118.7
5988985,2011-08-01,29.089,0.2289999999999999,Port Saint Lucie,United States,26.52,-80.6
5991214,2011-08-01,17.287,0.344,Portland,United States,45.81,-123.46
6057908,2011-08-01,20.769,0.2339999999999999,Providence,United States,42.59,-72.0
6060137,2011-08-01,23.543000000000006,0.261,Provo,United States,39.38,-112.37
6072050,2011-08-01,25.576,0.3229999999999999,Pueblo,United States,37.78,-103.73
6234320,2011-08-01,26.003,0.157,Raleigh,United States,36.17,-79.56
6251388,2011-08-01,28.618,0.319,Rancho Cucamonga,United States,34.56,-116.76
6318054,2011-08-01,21.284,0.355,Reno,United States,39.38,-120.69
6338307,2011-08-01,28.618,0.319,Rialto,United States,34.56,-116.76
6349056,2011-08-01,33.739999999999995,0.156,Richardson,United States,32.95,-96.7
6351033,2011-08-01,19.389,0.415,Richmond,United States,37.78,-122.03
6354272,2011-08-01,25.358,0.397,Richmond,United States,37.78,-77.29
6380515,2011-08-01,28.618,0.319,Riverside,United States,34.56,-116.76
6393728,2011-08-01,21.129,0.172,Rochester,United States,42.59,-78.55
6396967,2011-08-01,22.053,0.3389999999999999,Rockford,United States,42.59,-89.45
6415572,2011-08-01,21.284,0.355,Roseville,United States,39.38,-120.69
6508179,2011-08-01,19.389,0.415,Sacramento,United States,37.78,-122.03
6542402,2011-08-01,25.254,0.158,Saint Louis,United States,39.38,-89.48
6545641,2011-08-01,20.531,0.273,Saint Paul,United States,45.81,-93.46
6552119,2011-08-01,29.011999999999997,0.271,Saint Petersburg,United States,28.13,-82.73
6574683,2011-08-01,18.275,0.285,Salem,United States,44.2,-122.98
6583138,2011-08-01,20.605,0.305,Salinas,United States,36.17,-121.33
6585441,2011-08-01,24.811,0.34,Salt Lake City,United States,40.99,-112.9
6620915,2011-08-01,32.166,0.296,San Antonio,United States,29.74,-97.85
6622892,2011-08-01,28.618,0.319,San Bernardino,United States,34.56,-116.76
6633225,2011-08-01,20.003,0.5760000000000001,San Diego,United States,32.95,-117.77
6637227,2011-08-01,19.389,0.415,San Francisco,United States,37.78,-122.03
6643434,2011-08-01,19.389,0.415,San Jose,United States,37.78,-122.03
6710931,2011-08-01,20.003,0.5760000000000001,Santa Ana,United States,32.95,-117.77
6717462,2011-08-01,19.389,0.415,Santa Clara,United States,37.78,-122.03
6719439,2011-08-01,24.566999999999997,0.3389999999999999,Santa Clarita,United States,34.56,-118.7
6740813,2011-08-01,19.389,0.415,Santa Rosa,United States,37.78,-122.03
6818728,2011-08-01,28.558000000000003,0.336,Savannah,United States,31.35,-81.05
6830113,2011-08-01,34.236,0.215,Scottsdale,United States,32.95,-112.02
6832342,2011-08-01,15.798,0.166,Seattle,United States,47.42,-121.97
6979430,2011-08-01,31.215000000000003,0.252,Shreveport,United States,32.95,-92.87
7023777,2011-08-01,24.566999999999997,0.3389999999999999,Simi Valley,United States,34.56,-118.7
7037773,2011-08-01,21.653,0.308,Sioux Falls,United States,44.2,-96.15
7118636,2011-08-01,22.64,0.147,South Bend,United States,40.99,-85.21
7136947,2011-08-01,20.072,0.23,Spokane,United States,47.42,-117.24
7139092,2011-08-01,30.63,0.249,Spring Valley,United States,36.17,-115.36
7142159,2011-08-01,27.14,0.2789999999999999,Springfield,United States,37.78,-93.56
7145398,2011-08-01,25.254,0.158,Springfield,United States,39.38,-89.48
7148637,2011-08-01,20.769,0.2339999999999999,Springfield,United States,42.59,-72.0
7158740,2011-08-01,22.13,0.163,Stamford,United States,40.99,-74.56
7174536,2011-08-01,22.25500000000001,0.218,Sterling Heights,United States,42.59,-82.91
7185831,2011-08-01,19.389,0.415,Stockton,United States,37.78,-122.03
7248000,2011-08-01,19.389,0.415,Sunnyvale,United States,37.78,-122.03
7250145,2011-08-01,30.63,0.249,Sunrise Manor,United States,36.17,-115.36
7305918,2011-08-01,20.606,0.302,Syracuse,United States,42.59,-76.36
7341211,2011-08-01,15.798,0.166,Tacoma,United States,47.42,-121.97
7395499,2011-08-01,29.084,0.276,Tallahassee,United States,29.74,-84.92
7418626,2011-08-01,29.011999999999997,0.271,Tampa,United States,28.13,-82.73
7534178,2011-08-01,34.236,0.215,Tempe,United States,32.95,-112.02
7594366,2011-08-01,23.358,0.431,Thornton,United States,39.38,-104.05
7596343,2011-08-01,24.566999999999997,0.3389999999999999,Thousand Oaks,United States,34.56,-118.7
7666388,2011-08-01,22.49,0.247,Toledo,United States,40.99,-83.08
7679805,2011-08-01,23.798,0.174,Toms River,United States,39.38,-74.91
7701009,2011-08-01,26.483,0.599,Topeka,United States,39.38,-95.72
7706225,2011-08-01,24.566999999999997,0.3389999999999999,Torrance,United States,34.56,-118.7
7782443,2011-08-01,28.296,0.4639999999999999,Tucson,United States,31.35,-111.2
7794820,2011-08-01,30.401999999999997,0.467,Tulsa,United States,36.17,-95.47
7956215,2011-08-01,19.389,0.415,Vallejo,United States,37.78,-122.03
7967839,2011-08-01,17.287,0.344,Vancouver,United States,45.81,-123.46
8071905,2011-08-01,26.57,0.228,Virginia Beach,United States,36.17,-75.58
8076495,2011-08-01,25.898000000000003,0.249,Visalia,United States,36.17,-119.34
8125235,2011-08-01,32.657,0.358,Waco,United States,31.35,-98.01
8154476,2011-08-01,22.25500000000001,0.218,Warren,United States,42.59,-82.91
8165112,2011-08-01,24.261999999999997,0.231,Washington,United States,39.38,-76.99
8168351,2011-08-01,22.476999999999997,0.382,Waterbury,United States,40.99,-72.43
8201042,2011-08-01,24.566999999999997,0.3389999999999999,West Covina,United States,34.56,-118.7
8203345,2011-08-01,24.811,0.34,West Jordan,United States,40.99,-112.9
8205648,2011-08-01,24.811,0.34,West Valley City,United States,40.99,-112.9
8208510,2011-08-01,23.358,0.431,Westminster,United States,39.38,-104.05
8213332,2011-08-01,29.441,0.281,Wichita,United States,37.78,-97.63
8215657,2011-08-01,33.593,0.272,Wichita Falls,United States,34.56,-99.24
8224016,2011-08-01,22.25500000000001,0.218,Windsor,United States,42.59,-82.91
8230196,2011-08-01,26.003,0.157,Winston Salem,United States,36.17,-79.56
8255465,2011-08-01,20.769,0.2339999999999999,Worcester,United States,42.59,-72.0
8439221,2011-08-01,22.13,0.163,Yonkers,United States,40.99,-74.56
